Step,Value,Legend
260000.0,-5.344331991661617,Pos+CNN
261000.0,-5.359235953678268,Pos+CNN
262000.0,-5.361735548397004,Pos+CNN
263000.0,-5.328616598774089,Pos+CNN
264000.0,-5.334509782545407,Pos+CNN
265000.0,-5.302115829711166,Pos+CNN
266000.0,-5.326621187059837,Pos+CNN
267000.0,-5.379237919760068,Pos+CNN
268000.0,-5.348230258848969,Pos+CNN
269000.0,-5.317646715457607,Pos+CNN
270000.0,-5.320241295044223,Pos+CNN
271000.0,-5.366870016462971,Pos+CNN
272000.0,-5.372561969436209,Pos+CNN
273000.0,-5.361949145965924,Pos+CNN
274000.0,-5.36678855733523,Pos+CNN
275000.0,-5.407625169164208,Pos+CNN
276000.0,-5.368324252045109,Pos+CNN
277000.0,-5.404227874152021,Pos+CNN
278000.0,-5.473035683630455,Pos+CNN
279000.0,-5.463544818638384,Pos+CNN
280000.0,-5.401176069413314,Pos+CNN
281000.0,-5.3690853054552825,Pos+CNN
282000.0,-5.38394972666781,Pos+CNN
283000.0,-5.364966983948616,Pos+CNN
284000.0,-5.321639002945766,Pos+CNN
285000.0,-5.369116489596573,Pos+CNN
286000.0,-5.314343268952804,Pos+CNN
287000.0,-5.306762306410009,Pos+CNN
288000.0,-5.200925755592225,Pos+CNN
289000.0,-5.130306259480552,Pos+CNN
290000.0,-5.092030349277521,Pos+CNN
291000.0,-5.043393587825608,Pos+CNN
292000.0,-5.028603578577455,Pos+CNN
293000.0,-5.010193919858849,Pos+CNN
294000.0,-5.0326678941005865,Pos+CNN
295000.0,-4.978280121076771,Pos+CNN
296000.0,-4.935932305742537,Pos+CNN
297000.0,-4.963321038012479,Pos+CNN
298000.0,-5.020541720120644,Pos+CNN
299000.0,-4.963838281136859,Pos+CNN
300000.0,-5.008585553176207,Pos+CNN
301000.0,-5.005243062741213,Pos+CNN
302000.0,-5.018950712460598,Pos+CNN
303000.0,-5.1536603919559765,Pos+CNN
304000.0,-5.165701383779381,Pos+CNN
305000.0,-5.2708738751296575,Pos+CNN
306000.0,-5.307436992896612,Pos+CNN
307000.0,-5.279852151537304,Pos+CNN
308000.0,-5.204317772071706,Pos+CNN
309000.0,-5.202443076667278,Pos+CNN
310000.0,-5.270831088048452,Pos+CNN
311000.0,-5.307646946937961,Pos+CNN
312000.0,-5.389389438420103,Pos+CNN
313000.0,-5.390910695831068,Pos+CNN
