Step,Value,Legend
653000.0,-4.074734143174587,No motion
654000.0,-4.2178268980672495,No motion
655000.0,-4.201695363134743,No motion
656000.0,-4.179019697894723,No motion
657000.0,-4.175044389536547,No motion
658000.0,-4.323273066055814,No motion
659000.0,-4.338565668665804,No motion
660000.0,-4.350127237184113,No motion
661000.0,-4.410023037876787,No motion
662000.0,-4.383762920967536,No motion
663000.0,-4.404207023797638,No motion
664000.0,-4.380072791553832,No motion
665000.0,-4.333497354605229,No motion
666000.0,-4.349651556966216,No motion
667000.0,-4.295500559279954,No motion
668000.0,-4.272642199731026,No motion
669000.0,-4.331495870460417,No motion
670000.0,-4.280473442717272,No motion
671000.0,-4.23400701011388,No motion
672000.0,-4.196685483842194,No motion
673000.0,-4.252108711252258,No motion
674000.0,-4.233690070447487,No motion
675000.0,-4.254725536674563,No motion
676000.0,-4.232370214583267,No motion
677000.0,-4.195121945019265,No motion
678000.0,-4.165534595670218,No motion
679000.0,-4.194702195148487,No motion
680000.0,-4.307876559763926,No motion
681000.0,-4.270659265951602,No motion
682000.0,-4.259193820888275,No motion
683000.0,-4.266991709647328,No motion
684000.0,-4.28568069361534,No motion
685000.0,-4.29363004974268,No motion
686000.0,-4.315038420569449,No motion
687000.0,-4.300086346190146,No motion
688000.0,-4.273063241019769,No motion
689000.0,-4.2624080018661195,No motion
690000.0,-4.222572549644975,No motion
691000.0,-4.221600911260322,No motion
692000.0,-4.240639879483622,No motion
693000.0,-4.2268084451255294,No motion
694000.0,-4.224564693020009,No motion
695000.0,-4.179808654947988,No motion
696000.0,-4.171265805399136,No motion
697000.0,-4.148278071884246,No motion
698000.0,-4.079012154225245,No motion
699000.0,-4.150468145558782,No motion
700000.0,-4.1061997145534255,No motion
701000.0,-4.074895380299753,No motion
702000.0,-4.005977712515387,No motion
703000.0,-4.001296145042999,No motion
704000.0,-4.015099788909318,No motion
705000.0,-4.011905288641556,No motion
706000.0,-4.046688408799627,No motion
707000.0,-4.066021397302822,No motion
708000.0,-4.041310660899442,No motion
709000.0,-4.043581413445596,No motion
710000.0,-3.9929807452925417,No motion
711000.0,-3.9578097596903596,No motion
712000.0,-3.9911830046159977,No motion
713000.0,-4.022904300437749,No motion
714000.0,-4.063245348691008,No motion
715000.0,-4.073693491946765,No motion
716000.0,-4.084110584889404,No motion
717000.0,-4.0802245603827885,No motion
718000.0,-4.02706416482596,No motion
719000.0,-3.9824643416516485,No motion
720000.0,-3.9576186685906722,No motion
721000.0,-3.985244160065008,No motion
722000.0,-4.051186214795218,No motion
723000.0,-3.999380199477057,No motion
724000.0,-3.987363195366394,No motion
725000.0,-4.011838133284842,No motion
726000.0,-3.963346110176966,No motion
727000.0,-3.902070420058895,No motion
728000.0,-3.939551065582745,No motion
729000.0,-3.929328203904407,No motion
730000.0,-4.0163614398960155,No motion
731000.0,-3.9698306703952637,No motion
732000.0,-4.004321343220105,No motion
733000.0,-3.974979764412829,No motion
734000.0,-3.991349518181323,No motion
735000.0,-4.031072303540872,No motion
736000.0,-4.03817905251483,No motion
737000.0,-4.0355587780583395,No motion
738000.0,-4.05246937484573,No motion
739000.0,-4.007130130136799,No motion
740000.0,-3.9686886040414886,No motion
741000.0,-4.0564999967459086,No motion
742000.0,-3.9844875941833933,No motion
743000.0,-4.02044802702,No motion
744000.0,-4.092894048558709,No motion
745000.0,-4.087560078018591,No motion
746000.0,-4.1167710319042214,No motion
747000.0,-4.13228703639269,No motion
748000.0,-4.196782098673702,No motion
749000.0,-4.240720616916591,No motion
750000.0,-4.243650835536704,No motion
751000.0,-4.234284064862774,No motion
752000.0,-4.2877831127335275,No motion
753000.0,-4.261908606964862,No motion
754000.0,-4.331836915477703,No motion
755000.0,-4.292065526685477,No motion
756000.0,-4.329857284187567,No motion
757000.0,-4.324479470294046,No motion
758000.0,-4.34690059737291,No motion
759000.0,-4.352947243453361,No motion
760000.0,-4.363831384958061,No motion
761000.0,-4.404045024297805,No motion
762000.0,-4.34837569678134,No motion
763000.0,-4.343711900612623,No motion
764000.0,-4.519653699304525,No motion
765000.0,-4.510502698451847,No motion
766000.0,-4.476773615985157,No motion
767000.0,-4.462374785039415,No motion
768000.0,-4.508223650424591,No motion
769000.0,-4.552101961464152,No motion
770000.0,-4.571078107859633,No motion
771000.0,-4.575916298032448,No motion
